program_name,table_name,condition_field_names,condition,insert_before_line,variable_condition_field_names,field_value_list,skip_flag
TA-nationstat-go-listBL.p,kontplan,"betriebsnr,kontignr,datum",,,,,TRUE
cr-occfcast1_2-webBL.p,segment,segmentcode,,,,,TRUE
cr-occfcast1_2-webBL.p,zimmer,zinr,,,,,TRUE
cr-occfcast1_2-webBL.p,htparam,paramnr,,,,,TRUE
cr-occfcast1_2-webBL.p,arrangement,arrangement,,,,,TRUE
nationstatBL.p,nationstat,"nationnr,datum",(Nationstat.datum >= from_date) & (Nationstat.datum <= to_date),nation = Nation(),,,TRUE
rm-productbyrate-webbl.p,queasy,"key,number1","(Queasy.key.in_([212,211]))",,,,TRUE
rm-productbyrate-webbl.p,queasy,"key,number3",,,,,TRUE
foumsz-create-listbl.p,kontplan,"betriebsnr,kontignr,datum",(Kontplan.datum >= first_date) & (Kontplan.datum <= to_date),,,,TRUE
cr-fproduct_2BL.p,reslin_queasy,"key,char1,number1,number2,number3,resnr,reslinnr",((Reslin_queasy.date1 >= fr_date) & (Reslin_queasy.date1 <= to_date)) | (((Reslin_queasy.date2 >= fr_date) & (Reslin_queasy.date2 <= to_date))),,"date1,date2",,TRUE
cr-fproduct_2BL.p,reslin_queasy,"key,resnr,reslinnr",,,,,TRUE
cr-fproduct_2BL.p,arrangement,arrangement,,,,,TRUE
cr-fproduct_2BL.p,arrangement,argtnr,,,,,TRUE
cr-fproduct_2BL.p,ratecode,"code,marknr,argtnr,zikatnr,wday,erwachs,kind1,kind2",((Ratecode.startperiode >= fr_date) & (Ratecode.startperiode <= to_date) | (Ratecode.endperiode >= fr_date) & (Ratecode.endperiode <= to_date)),,"startperiode,endperiode",,TRUE
cr-fproduct_2BL.p,ratecode,"code,marknr,zikatnr,wday,erwachs,kind1,kind2",,,,,TRUE
cr-fproduct_2BL.p,ratecode,"code,marknr,argtnr,zikatnr,wday,erwachs",,,,,TRUE
cr-fproduct_2BL.p,ratecode,"code,marknr,zikatnr,wday,erwachs",,,,,TRUE
cr-fproduct_2BL.p,kontplan,"betriebsnr,kontignr,datum",(Kontplan.datum >= fr_date) & (Kontplan.datum <= to_date),,,,TRUE
revenue-report_1BL.p,umsatz,"artnr,departement,datum",(Umsatz.datum >= ly_jan1) & (Umsatz.datum <= to_date),if sorttype == 1:,,,TRUE
revenue-report_1BL.p,kontplan,"betriebsnr,kontignr,datum",(Kontplan.datum >= ly_jan1) & (Kontplan.datum <= to_date),if sorttype == 1:,,,TRUE
revenue-report_1BL.p,zwkum,"zknr,departement",,,,,TRUE
revenue-report_1BL.p,ekum,eknr,,,,,TRUE
revenue-report_1BL.p,budget,"departement,artnr,datum",(Budget.datum >= ly_jan1) & (Budget.datum <= to_date),if sorttype == 1:,,,TRUE
slow-moving-btn-go_3BL.p,l_bestand,"artnr,lager_nr",(L_bestand.artnr >= main_grp * 1000000) & (L_bestand.artnr <= (main_grp + 1) * 1000000 - 1),,,,TRUE
slow-moving-btn-go_3BL.p,l_op,"artnr,op_art,lager_nr",(L_op.artnr >= main_grp * 1000000) & (L_op.artnr <= (main_grp + 1) * 1000000 - 1),,datum,,TRUE
slow-moving-btn-go_3BL.p,l_op,"artnr,lager_nr",,,,,TRUE
rest-daysalesp2-btn-go_5-cldBL.p,h_bill,"rechnr,departement",((H_bill.flag == 1) & (H_bill.departement == curr_dept)),,,resnr,TRUE
rest-daysalesp2-btn-go_5-cldBL.p,res_line,"resnr,reslinnr","(Res_line.resnr.in_(get_cache_value_list(H_bill,""resnr"")))",,,,TRUE
