20251023-16:10:26 %Cpu(s):   0.0 us,   0.0 sy,   0.0 ni, 100.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:27 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  97.5 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:28 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:29 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:30 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  98.5 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:31 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:32 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:33 %Cpu(s):   0.9 us,   0.4 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:34 %Cpu(s):   0.4 us,   1.4 sy,   0.0 ni,  97.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.4 st
20251023-16:10:36 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  99.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:37 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:38 %Cpu(s):   0.4 us,   1.9 sy,   0.0 ni,  97.1 id,   0.0 wa,   0.0 hi,   0.0 si,   0.4 st
20251023-16:10:39 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:40 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:41 %Cpu(s):   0.4 us,   1.4 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:42 %Cpu(s):   0.0 us,   1.4 sy,   0.0 ni,  98.0 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:43 %Cpu(s):   0.4 us,   1.9 sy,   0.0 ni,  97.1 id,   0.0 wa,   0.0 hi,   0.0 si,   0.4 st
20251023-16:10:44 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:45 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:46 %Cpu(s):   0.0 us,   1.4 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.4 st
20251023-16:10:47 %Cpu(s):   0.0 us,   0.4 sy,   0.0 ni,  99.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:48 %Cpu(s):   0.9 us,   1.4 sy,   0.0 ni,  97.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:49 %Cpu(s):   5.0 us,   4.0 sy,   0.0 ni,  78.0 id,  12.5 wa,   0.0 hi,   0.5 si,   0.0 st
20251023-16:10:50 %Cpu(s):  15.1 us,   5.3 sy,   0.0 ni,  76.0 id,   2.4 wa,   0.0 hi,   0.4 si,   0.4 st
20251023-16:10:51 %Cpu(s):  23.1 us,   5.7 sy,   0.0 ni,  57.4 id,  12.5 wa,   0.0 hi,   0.9 si,   0.0 st
20251023-16:10:52 %Cpu(s):  18.6 us,   4.4 sy,   0.0 ni,  72.5 id,   2.9 wa,   0.0 hi,   0.9 si,   0.4 st
20251023-16:10:53 %Cpu(s):  24.0 us,   5.8 sy,   0.0 ni,  54.4 id,  12.7 wa,   0.0 hi,   2.4 si,   0.4 st
20251023-16:10:54 %Cpu(s):  19.3 us,   4.3 sy,   0.0 ni,  66.6 id,   9.1 wa,   0.0 hi,   0.4 si,   0.0 st
20251023-16:10:55 %Cpu(s):  26.4 us,   4.8 sy,   0.0 ni,  56.2 id,   7.6 wa,   0.0 hi,   1.9 si,   2.8 st
20251023-16:10:56 %Cpu(s):  18.8 us,   6.2 sy,   0.0 ni,  71.0 id,   2.4 wa,   0.0 hi,   1.4 si,   0.0 st
20251023-16:10:57 %Cpu(s):  16.9 us,   3.3 sy,   0.0 ni,  78.2 id,   1.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:58 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  97.5 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:10:59 %Cpu(s):   0.0 us,   1.4 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:00 %Cpu(s):   0.9 us,   1.4 sy,   0.0 ni,  95.6 id,   0.4 wa,   0.0 hi,   0.0 si,   1.4 st
20251023-16:11:01 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.0 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:02 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:03 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  99.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:04 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  97.5 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:05 %Cpu(s):   0.0 us,   1.4 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:06 %Cpu(s):   0.0 us,   1.4 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:07 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:08 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  98.5 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:09 %Cpu(s):   0.4 us,   1.4 sy,   0.0 ni,  97.5 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:10 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.0 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:11 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.4 st
20251023-16:11:12 %Cpu(s):   0.4 us,   1.9 sy,   0.0 ni,  97.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:13 %Cpu(s):   0.9 us,   0.4 sy,   0.0 ni,  97.0 id,   1.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:14 %Cpu(s):   0.0 us,   1.4 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:15 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:16 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.0 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:17 %Cpu(s):   0.0 us,   1.4 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:18 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.4 st
20251023-16:11:20 %Cpu(s):   0.4 us,   1.4 sy,   0.0 ni,  97.5 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:21 %Cpu(s):   0.0 us,   1.4 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:22 %Cpu(s):   0.4 us,   0.4 sy,   0.0 ni,  99.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:23 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:24 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.4 st
20251023-16:11:25 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.0 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:26 %Cpu(s):   0.9 us,   0.4 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.4 si,   0.0 st
20251023-16:11:27 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:28 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:29 %Cpu(s):   0.0 us,   1.4 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:30 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  97.0 id,   0.9 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:31 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  99.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:32 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:33 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:34 %Cpu(s):   0.4 us,   0.4 sy,   0.0 ni,  99.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:35 %Cpu(s):   0.4 us,   1.4 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:36 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:37 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:38 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.4 st
20251023-16:11:39 %Cpu(s):   0.9 us,   1.4 sy,   0.0 ni,  97.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:40 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:41 %Cpu(s):   0.9 us,   1.4 sy,   0.0 ni,  97.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:42 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  99.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:43 %Cpu(s):   0.0 us,   1.4 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:44 %Cpu(s):   0.4 us,   1.4 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:45 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  97.0 id,   0.4 wa,   0.0 hi,   0.0 si,   0.9 st
20251023-16:11:46 %Cpu(s):   0.4 us,   1.4 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:47 %Cpu(s):   0.4 us,   1.4 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:48 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  99.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:49 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:50 %Cpu(s):   1.9 us,   1.9 sy,   0.0 ni,  96.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:51 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:52 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:53 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:54 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  99.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:55 %Cpu(s):   0.9 us,   1.4 sy,   0.0 ni,  96.6 id,   0.4 wa,   0.0 hi,   0.0 si,   0.4 st
20251023-16:11:56 %Cpu(s):   0.0 us,   1.4 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:57 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:58 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:11:59 %Cpu(s):   0.0 us,   1.4 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:00 %Cpu(s):   4.1 us,   2.2 sy,   0.0 ni,  82.6 id,   4.1 wa,   0.0 hi,   0.4 si,   6.3 st
20251023-16:12:01 %Cpu(s):  30.6 us,   9.5 sy,   0.0 ni,  51.1 id,   5.7 wa,   0.0 hi,   2.3 si,   0.4 st
20251023-16:12:02 %Cpu(s):  34.4 us,   6.8 sy,   0.0 ni,  52.7 id,   3.6 wa,   0.0 hi,   2.2 si,   0.0 st
20251023-16:12:03 %Cpu(s):  39.7 us,   6.6 sy,   0.0 ni,  49.2 id,   0.0 wa,   0.0 hi,   4.3 si,   0.0 st
20251023-16:12:05 %Cpu(s):  36.5 us,   8.1 sy,   0.0 ni,  48.7 id,   3.0 wa,   0.0 hi,   3.0 si,   0.5 st
20251023-16:12:06 %Cpu(s):  35.1 us,   5.8 sy,   0.0 ni,  51.7 id,   3.4 wa,   0.0 hi,   3.4 si,   0.4 st
20251023-16:12:07 %Cpu(s):  36.8 us,   7.4 sy,   0.0 ni,  51.7 id,   0.9 wa,   0.0 hi,   2.4 si,   0.4 st
20251023-16:12:08 %Cpu(s):  32.8 us,   7.5 sy,   0.0 ni,  52.0 id,   4.0 wa,   0.0 hi,   3.5 si,   0.0 st
20251023-16:12:09 %Cpu(s):  39.6 us,   7.2 sy,   0.0 ni,  45.8 id,   3.3 wa,   0.0 hi,   3.3 si,   0.4 st
20251023-16:12:10 %Cpu(s):  35.5 us,   5.5 sy,   0.0 ni,  56.0 id,   1.0 wa,   0.0 hi,   2.0 si,   0.0 st
20251023-16:12:11 %Cpu(s):  34.9 us,   6.8 sy,   0.0 ni,  51.2 id,   1.4 wa,   0.0 hi,   5.4 si,   0.0 st
20251023-16:12:12 %Cpu(s):  36.9 us,   6.8 sy,   0.0 ni,  50.2 id,   1.4 wa,   0.0 hi,   3.9 si,   0.4 st
20251023-16:12:13 %Cpu(s):  39.1 us,   6.9 sy,   0.0 ni,  50.0 id,   0.4 wa,   0.0 hi,   2.9 si,   0.4 st
20251023-16:12:14 %Cpu(s):  36.2 us,   7.8 sy,   0.0 ni,  52.4 id,   0.4 wa,   0.0 hi,   2.9 si,   0.0 st
20251023-16:12:15 %Cpu(s):  24.1 us,   3.5 sy,   0.0 ni,  69.3 id,   1.5 wa,   0.0 hi,   1.0 si,   0.5 st
20251023-16:12:16 %Cpu(s):  19.4 us,   2.9 sy,   0.0 ni,  77.6 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:17 %Cpu(s):  17.3 us,   4.8 sy,   0.0 ni,  76.4 id,   0.4 wa,   0.0 hi,   0.9 si,   0.0 st
20251023-16:12:18 %Cpu(s):  16.7 us,   3.9 sy,   0.0 ni,  79.3 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:19 %Cpu(s):  18.2 us,   4.9 sy,   0.0 ni,  74.3 id,   1.4 wa,   0.0 hi,   0.9 si,   0.0 st
20251023-16:12:20 %Cpu(s):  26.2 us,   3.5 sy,   0.0 ni,  66.1 id,   0.5 wa,   0.0 hi,   3.0 si,   0.5 st
