program_name,table_name,condition_field_names,condition,insert_before_line,variable_condition_field_names,field_value_list
TA-nationstat-go-listBL.p,kontplan,"betriebsnr,kontignr,datum",,,,
cr-occfcast1_2-webBL.p,segment,segmentcode,,,,
cr-occfcast1_2-webBL.p,zimmer,zinr,,,,
cr-occfcast1_2-webBL.p,htparam,paramnr,,,,
cr-occfcast1_2-webBL.p,arrangement,arrangement,,,,
nationstatBL.p,nationstat,"nationnr,datum",(Nationstat.datum >= from_date) & (Nationstat.datum <= to_date),nation = Nation(),,
rm-productbyrate-webbl.p,queasy,"key,number1","(Queasy.key.in_([212,211]))",,,
rm-productbyrate-webbl.p,queasy,"key,number3",,,,
foumsz-create-listbl.p,kontplan,"betriebsnr,kontignr,datum",(Kontplan.datum >= first_date) & (Kontplan.datum <= to_date),,,
cr-fproduct_2BL.p,reslin_queasy,"key,char1,number1,number2,number3,resnr,reslinnr",((Reslin_queasy.date1 >= fr_date) & (Reslin_queasy.date1 <= to_date)) | (((Reslin_queasy.date2 >= fr_date) & (Reslin_queasy.date2 <= to_date))),,"date1,date2",
cr-fproduct_2BL.p,reslin_queasy,"key,resnr,reslinnr",,,,
cr-fproduct_2BL.p,arrangement,arrangement,,,,
cr-fproduct_2BL.p,arrangement,argtnr,,,,
cr-fproduct_2BL.p,ratecode,"code,marknr,argtnr,zikatnr,wday,erwachs,kind1,kind2",((Ratecode.startperiode >= fr_date) & (Ratecode.startperiode <= to_date) | (Ratecode.endperiode >= fr_date) & (Ratecode.endperiode <= to_date)),,"startperiode,endperiode",
cr-fproduct_2BL.p,ratecode,"code,marknr,zikatnr,wday,erwachs,kind1,kind2",,,,
cr-fproduct_2BL.p,ratecode,"code,marknr,argtnr,zikatnr,wday,erwachs",,,,
cr-fproduct_2BL.p,ratecode,"code,marknr,zikatnr,wday,erwachs",,,,
cr-fproduct_2BL.p,kontplan,"betriebsnr,kontignr,datum",(Kontplan.datum >= fr_date) & (Kontplan.datum <= to_date),,,
revenue-report_1BL.p,umsatz,"artnr,departement,datum",(Umsatz.datum >= ly_jan1) & (Umsatz.datum <= to_date),if sorttype == 1:,,
revenue-report_1BL.p,kontplan,"betriebsnr,kontignr,datum",(Kontplan.datum >= ly_jan1) & (Kontplan.datum <= to_date),if sorttype == 1:,,
revenue-report_1BL.p,zwkum,"zknr,departement",,,,
revenue-report_1BL.p,ekum,eknr,,,,
revenue-report_1BL.p,budget,"departement,artnr,datum",(Budget.datum >= ly_jan1) & (Budget.datum <= to_date),if sorttype == 1:,,
slow-moving-btn-go_3BL.p,l_bestand,"artnr,lager_nr",(L_bestand.artnr >= main_grp * 1000000) & (L_bestand.artnr <= (main_grp + 1) * 1000000 - 1),,,
slow-moving-btn-go_3BL.p,l_op,"artnr,op_art,lager_nr",(L_op.artnr >= main_grp * 1000000) & (L_op.artnr <= (main_grp + 1) * 1000000 - 1),,datum,
slow-moving-btn-go_3BL.p,l_op,"artnr,lager_nr",,,,
rest-daysalesp2-btn-go_5-cldBL.p,h_bill,"rechnr,departement",((H_bill.flag == 1) & (H_bill.departement == curr_dept)),,,resnr
rest-daysalesp2-btn-go_5-cldBL.p,res_line,"resnr,reslinnr","(Res_line.resnr.in_(get_cache_value_list(H_bill,""resnr"")))",,,
rest-daysalesp2-btn-go_5-cldBL.p,h_bill_line,"rechnr,departement",(H_bill_line.bill_datum >= from_date) & (H_bill_line.bill_datum <= to_date),,bill_datum,
rest-daysalesp2-btn-go_5-cldBL.p,h_bill_line,"rechnr,departement,betriebsnr",,,,
occ-fcast1-ddown-create-browse1BL.p,reslin_queasy,"key,resnr,reslinnr",(Reslin_queasy.date1 <= datum) & (Reslin_queasy.date2 >= datum),,"date1,date2",
occ-fcast1-ddown-create-browse1BL.p,zimmer,zinr,,,,
occ-fcast1-ddown-create-browse1BL.p,queasy,"key,char1",(Queasy.key == 14) & (((Queasy.date1 <= datum) & (Queasy.date2 >= datum)) | (Queasy.date1 <= datum - timedelta(days=1)) & (Queasy.date2 >= datum - timedelta(days=1))),,"date1,date2",
occ-fcast1-ddown-create-browse1BL.p,res_line,"resnr,resstatus",(Res_line.abreise > datum) & (Res_line.resstatus == 8),,"reslinnr,abreise",
rm-productrate-create-umsatz1-webbl.p,ratecode,code,(Ratecode.endperiode > to_date),genstat_obj_list = {},endperiode,
gcf-ATlist-create-listBL.p,guest,,(Guest.karteityp >= 1) & (Guest.gastnr > 0),,,gastnr
gcf-ATlist-create-listBL.p,guestseg,"gastnr,reihenfolge","(Guestseg.gastnr.in_(get_cache_value_list(Guest,""gastnr"")))",,,
gcf-ATlist-create-listBL.p,guestseg,gastnr,,,,
gcf-ATlist-create-listBL.p,akt_kont,gastnr,"(Akt_kont.gastnr.in_(get_cache_value_list(Guest,""gastnr"")))",,,
gcf-ATlist-create-listBL.p,guest_pr,gastnr,"(Guest_pr.gastnr.in_(get_cache_value_list(Guest,""gastnr"")))",,,
pchase-book-btn-go-webbl.p,l_pprice,,(L_pprice.bestelldatum >= f_date) & (L_pprice.bestelldatum <= t_date) & (L_pprice.anzahl != 0) & (L_pprice.warenwert != 0),if not mi_all:,,docu_nr
pchase-book-btn-go-webbl.p,l_order,"docu_nr,lief_nr,artnr","(L_order.docu_nr.in_(get_cache_value_list(L_pprice, ""docu_nr"")))",if not mi_all:,,
pchase-book-btn-go-webbl.p,l_op,"lscheinnr,lief_nr,artnr,datum",(L_op.datum >= f_date) & (L_op.datum <= t_date),if not mi_all:,,
pchase-book-btn-go-webbl.p,l_op,"docu_nr,lief_nr,artnr,datum",,,,
prepare-mk-pr_1BL.p,l_bestand,"artnr,lager_nr",(L_bestand.lager_nr == 0),,,
