service,function
getInvArticleList,sarticle_listbl
addInvArticle,mk_sarticle_btn_go_webbl
getInvMainGroup,load_l_hauptgrpbl
getInvSubGroup,prepare_select_szwkumbl
getInvArtNo,mk_sarticle_btn_helpbl
getInvOrigin,stock_originbl
getInvRecipe,read_h_rezeptbl
getHelpInvArticle,select_sartnr2_1bl
getPurchaseOrderList,sorder_list_btn_go2bl
expPOList,expired_polist_btn_gobl
expPOListPrepare,prepare_expired_polistbl
poListViewDetail,prepare_view_sitemsbl
outsPOList,outstand_polist_btn_gobl
outsPOListPrepare,prepare_outstand_polistbl
purchaseBook,pchase_book_btn_gobl
minOHPrepare,prepare_min_onhandbl
minOHList,min_onhand_btn_go2bl
maxOHList,max_onhand_btn_go2bl
maxOHPrepare,prepare_max_onhandbl
slowMovingPrepare,prepare_slow_movingbl
slowMovingList,slow_moving_btn_gobl
receivingReportPrepare,prepare_supply_inlistbl
receivingReportList,supply_inlist_btn_gobl
getStorage,load_l_lagerbl
cancelStockInPrepare,prepare_cancel_stockinbl
cancelStockInLoad,cancel_stockin_btn_go1bl
stinReportList,stin_summary_btn_gobl
priceDiscrepancyReportList,discrepancy_inlist_1bl
rcvAnnualPrepare,prepare_rcv_annualbl
rcvAnnualList,rcv_annual_btn_gobl
delInvArticle,sarticle_list_delete_articlebl
stockTranslistPrepare,prepare_stock_translistbl
stockTranslistList,stock_translist_btn_gobl
transValidationPrepare,prepare_stock_translist1bl
transValidationList,stock_translist1_btn_go_1bl
stockMovelistPrepare,prepare_stock_movelistbl
stockMovelistList,stock_movelist_btn_go1bl
stockOhlistList,stock_ohlist1_1bl
cancelStockoutPrepare,prepare_cancel_stockoutbl
cancelStockoutList,cancel_stockout_btn_go1bl
stockOutAnnualList,stock_outannual_btn_gobl
stockOutAnnualPrepare,prepare_stock_outannualbl
stockTransformList,stock_transformlist_create_listbl
stockTransformDelete,stock_transformlist_btn_del_1bl
ktransReportPrepare,prepare_ktrans_reportbl
ktransReportList,ktrans_report_journal_listbl
ktransReportDelete,ktrans_report_btn_del_1bl
invAdjustlistPrepare,prepare_inv_adjustlistbl
invAdjustlistList,inv_adjustlist_btn_gobl
matReconsileList,cr_matreconbl
matReconsilePrepare,prepare_mat_reconsilehisbl
chgInvArticlePrepare,prepare_chg_sarticlebl
chgInvArticleRefresh,chg_sarticle_btn_chgnrbl
chgInvArticleSave,chg_sarticle_btn_gobl
stockOutlistPrepare,prepare_stock_outlistbl
stockOutlistList,stock_outlist_btn_go1bl
fbFlashPrepare,prepare_fb_flashbl
fbFlashList,fb_flashbl
recipeListPrepare,prepare_recipe_listbl
recipeListCalCost,recipe_list_cal_costbl
recipeListUpdateBrowse,recipe_list_update_browsebl
addRecipePrepare,prepare_mk_rezeptbl
addRecipeSave,mk_rezept_create_new_recipebl
addRecipeCalCost,mk_rezept_cal_costbl
addRecipeCreateRezlin,mk_rezept_create_rezlinbl
addRecipeBtnNew,mk_rezept_btn_newbl
chgRecipePrepare,prepare_chg_rezeiptbl
chgRecipeRetKatnr,chg_rezeipt_ret_katnrbl
chgRecipeDelete,chg_rezeipt_btn_delbl
chgRecipeSave,chg_rezeipt_btn_gobl
recipeListDelCheck,recipe_list_chk_btn_delbl
recipeListDelete,recipe_list_btn_delbl
recipeViewDetail,prepare_view_recitembl
recipeInsertPrepare,prepare_ins_rezeptbl
recipeInsertCalCost,ins_rezept_cal_costbl
initialStockPrepare,prepare_initial_stockbl
initialStockCreateBestand,initial_stock_create_bestandbl
initialStockModifyBestand,initial_stock_modify_bestandbl
initialStockCheckRegister,initial_stock_check_registerbl
initialStockCheckBestand,initial_stock_check_l_bestandbl
reorgMonhandInit,reorg_monhand_init_onhandbl
reorgMonhandUpdEingang,reorg_monhand_update_eingangbl
reorgMonhandUpdAusgang,reorg_monhand_update_ausgangbl
reorgMonhandUpdAverage,reorg_monhand_update_averagebl
storeReqPrepare,prepare_storereq_list_1bl
storeReqDelete,storereq_list_btn_del_1bl
fbFlash1Prepare,prepare_fb_flash1bl
fbFlash1List,fb_flash1_btn_go_webbl
fbReconsilePrepare,prepare_fb_reconsilebl
fbReconsileList,fb_reconsilebl
fbReconsile1List,fb_reconsile1_webbl
fbReconsile1Prepare,prepare_fb_reconsile1bl
storeReqInsPrepare,prepare_ins_storerequestbl
storeReqCreateList,storereq_list_create_list_1bl
poUnrelease,unrelease_pobl
poUnrelease1,unrelease_po1bl
glLinkstockPrepare,prepare_gl_linkstockbl
glLinkstockBtnGo,gl_linkstock1bl
glLinkstock2,gl_linkstock2bl
