UI Module,UI Name,WS Module,WS Name,WS Module/WS Name
AP,APReportsAPAgingPage.vue,vhpAP,getSupplierList,vhpAP/getSupplierList
AP,APReportsAPAgingPage.vue,Common,getLSegment,Common/getLSegment
AP,APReportsAPAgingPage.vue,Common,loadDateTimeServer,Common/loadDateTimeServer
AP,APReportsAPAgingPage.vue,vhpAP,getAgingList3,vhpAP/getAgingList3
AP,APAPJournalizingContent.vue,vhpAP,transferGLAdd,vhpAP/transferGLAdd
AP,APAPJournalizingContent.vue,vhpAP,transferGLSave,vhpAP/transferGLSave
AP,APAPJournalizingContent.vue,vhpAP,transferGLPrepare,vhpAP/transferGLPrepare
AP,APAPJournalizingContent.vue,Common,getHTParam0,Common/getHTParam0
AP,APAPPaymentContent.vue,vhpAP,apPaymentGetAPList,vhpAP/apPaymentGetAPList
AP,APAPPaymentContent.vue,vhpAP,paymentVoucherAttach,vhpAP/paymentVoucherAttach
AP,APAPPaymentContent.vue,vhpAP,paymentVoucherRemove,vhpAP/paymentVoucherRemove
AP,APAPPaymentContent.vue,vhpAP,getSupplierList,vhpAP/getSupplierList
AP,APAPPaymentContent.vue,vhpAP,prepareAPPayment,vhpAP/prepareAPPayment
AP,APAPPaymentContent.vue,Common,getHTParam0,Common/getHTParam0
AP,APAPPaymentContent.vue,vhpSS,loadImagesetup,vhpSS/loadImagesetup
AP,APAPPaymentContent.vue,vhpSS,checkHotelNameAdmin,vhpSS/checkHotelNameAdmin
AP,APAPPaymentContent.vue,Common,getLetterSetup,Common/getLetterSetup
AP,APAPPaymentContent.vue,vhpAP,apPaymentReason,vhpAP/apPaymentReason
AP,APOutstandingAndBalanceAPDialogManualAP.vue,vhpAP,prepareCreateManualAP,vhpAP/prepareCreateManualAP
AP,APOutstandingAndBalanceAPDialogManualAP.vue,vhpAP,transferGLPrepare,vhpAP/transferGLPrepare
AP,APOutstandingAndBalanceAPDialogManualAP.vue,vhpAP,getSupplierList,vhpAP/getSupplierList
AP,APOutstandingAndBalanceAPDialogManualAP.vue,Common,selectAccount,Common/selectAccount
AP,APOutstandingAndBalanceAPDialogManualAP.vue,Common,getHTParam0,Common/getHTParam0
AP,APOutstandingAndBalanceAPDialogManualAP.vue,vhpAP,createManualAPBtnOK,vhpAP/createManualAPBtnOK
AP,APOutstandingAndBalanceAPPage.vue,vhpAP,getSupplierList,vhpAP/getSupplierList
AP,APOutstandingAndBalanceAPPage.vue,Common,loadDateTimeServer,Common/loadDateTimeServer
AP,APOutstandingAndBalanceAPPage.vue,vhpAP,getAPList1Custom,vhpAP/getAPList1Custom
AP,APOutstandingAndBalanceAPPage.vue,vhpAP,delAPList,vhpAP/delAPList
AP,APReportsOutstandingDialogEdit.vue,vhpAP,prepareEditAP,vhpAP/prepareEditAP
AP,APReportsOutstandingDialogEdit.vue,vhpAP,chgAPListBtnOK,vhpAP/chgAPListBtnOK
AP,APReportsOutstandingDialogStockList.vue,vhpAP,getAPListAddItemList,vhpAP/getAPListAddItemList
AP,APReportsOutstandingAPPage.vue,vhpAP,getSupplierList,vhpAP/getSupplierList
AP,APReportsOutstandingAPPage.vue,vhpAP,getApDebtList,vhpAP/getApDebtList
AP,APReportsOutstandingDialogDisplay.vue,vhpAP,prepareDispAPPayment,vhpAP/prepareDispAPPayment
AP,APReportsPaidAPDialogCancel.vue,vhpAP,cancelAPPaymentSelectRecord,vhpAP/cancelAPPaymentSelectRecord
AP,APReportsPaidAPDialogRemark.vue,vhpAP,chgApPaymentList,vhpAP/chgApPaymentList
AP,APReportsPaidAPPage.vue,Common,readHtparam,Common/readHtparam
AP,APReportsPaidAPPage.vue,vhpAP,getSupplierList,vhpAP/getSupplierList
AP,APReportsPaidAPPage.vue,vhpAP,getApPaymentList,vhpAP/getApPaymentList
AP,APPurchaseOrderContent.vue,vhpAP,getPurchaseOrderListBtnPrint,vhpAP/getPurchaseOrderListBtnPrint
AP,APPurchaseOrderContent.vue,vhpAP,getPreparePurchaseOrderList,vhpAP/getPreparePurchaseOrderList
AP,APPurchaseOrderContent.vue,vhpAP,readParameter,vhpAP/readParameter
AP,APPurchaseOrderContent.vue,vhpAP,getSupplierList,vhpAP/getSupplierList
AP,APPurchaseOrderContent.vue,vhpAP,getPurchaseOrderList,vhpAP/getPurchaseOrderList
AP,APPurchaseOrderDialogDetail.vue,vhpAP,viewPODetail1,vhpAP/viewPODetail1
AP,APPurchaseOrderDialogDetail.vue,vhpAP,viewPODetail,vhpAP/viewPODetail
AP,APSupplierProfileDialogForm.vue,Common,getCountry,Common/getCountry
AP,APSupplierProfileDialogForm.vue,Common,getLSegment,Common/getLSegment
AP,APSupplierProfileDialogForm.vue,vhpAP,getPrepareChgSupply,vhpAP/getPrepareChgSupply
AP,APSupplierProfileDialogForm.vue,vhpAP,addSupplier,vhpAP/addSupplier
AP,APSupplierProfileDialogForm.vue,vhpAP,chgSupplier,vhpAP/chgSupplier
AP,APSupplierProfileDialogTurnover.vue,vhpAP,getPrepareSupplyUmsatz,vhpAP/getPrepareSupplyUmsatz
AP,APSupplierProfilePage.vue,vhpAP,getSupplierList,vhpAP/getSupplierList
AP,APSupplierProfilePage.vue,Common,getHTParam0,Common/getHTParam0
AP,APSupplierProfilePage.vue,vhpAP,delSupplier,vhpAP/delSupplier
AR,ARReportsAgingBalanceDialogReservation.vue,vhpAR,getReadBill,vhpAR/getReadBill
AR,ARReportsAgingBalanceDialogReservation.vue,vhpAR,getBillDetail,vhpAR/getBillDetail
AR,ARReportsAgingBalancePage.vue,vhpAR,getPrepareARAging,vhpAR/getPrepareARAging
AR,ARReportsAgingBalancePage.vue,Common,getArtikel,Common/getArtikel
AR,ARReportsAgingBalancePage.vue,vhpAR,getARAge1,vhpAR/getARAge1
