service,function
getDepartmentList,load_hoteldptbl
getArticleList,load_artikelbl
getSegmArgtRoomCatList,prepare_select_sortingbl
getGuestList,get_guest_list
getCheckInDate,get_check_in_datebl
checkRoomExist,room_existbl
getImage,get_imagebl
deleteImage,delete_imagebl
uploadImage,upload_imagebl
updateImageDescription,update_image_descriptionbl
getParamtext,read_paramtextbl
getFBArticleList,fb_load_h_artikelbl
getWaiterList,fb_getwaiter_listbl
getHTParam,get_htpbl
sendemailbill,fo_invoice_sendmail_webbl
checkPermission,cstm_zugriff_testbl
getDateTimeServer,cstm_load_datetime_serverbl
checkSignature,cstm_check_esignature_1bl
confirmSignature,cstm_confirm_signature_1bl
