service,function
getCheckInList,tsh_checkinbl
getReservationDetail,ipci_detail_assign_itbl
getAvailableRoomsList,avail_roombl
getPurposeList,ipselect_segmpurbl
getReservationRoomList,room_list
getSignature,produce_signbl
storeDepositInfo,deposit_pay_btn_exitbl
storeSignature,store_signaturebl
getNationList,gcf_nationbl
getDepositInfo,prepare_deposit_paybl
getStoreReservationComment,chg_rcommentbl
getGuestCardFileList,gcf_listbl
storeReservationDetail,ipci_detail_btn_updatebl
CheckInGuest2,res_checkin2bl
CheckInGuest1,res_checkin1bl
DepositToBill,deposit2billbl
getGuestDetailSimple,ipprepare_res_gname1bl
storeIDCard,write_guestbookbl
getIDCard,gb_get_documentbl
prepareKeycard,keycard_myinitbl
createNewGuestCardFile,new_gcf0bl
getStayCost,prepare_view_staycostbl
prepareRoomPlan,prepare_roomplanbl
getRoomPlan,roomplan2bl
updateReservationGuest,update_resline_guestbl
getGuestInfo0,prepare_chg_gcf0bl
updateReservationAccGuest,update_resline_acc_guestbl
updateReservationGuestInfo,update_resline_guest_infobl
updateReservationRoom,update_resline_roombl
getReservationList,get_reservation_listbl
getBillInfo,get_bill_info_1bl
getBillInfoSignature,get_bill_info_signature_1bl
storeSignatureBill,store_bill_signaturebl
storeIDCardAndData,gb_save_document_and_databl
getIDCardAndData,gb_get_document_and_databl
getBillTermCondition,get_bill_term_conditionbl
getGroupCi,group_cibl
getGCheckedIn,gcheck_inbl
prepareGCheckIn,prepare_gcheck_inbl
prepareAutoCheckIn,prepare_auto_checkinbl
storeResGroupCheckIn,res_groupcheckinbl
updateGdpr,update_gdprbl
updateGhs,update_ghsbl
updateGcfAddress,update_gcfaddressbl
getSalesPaymentArticle,get_artikel_list
updateBill,update_billbl
prepareFOInvoice,prepare_fo_invbl
foInvReturnQty,fo_invoice_return_qtyBL
foInvCalculateAmount,fo_inv_calc_amount
foInvCalculateUnitPrice,fo_invoice_calculate_unitpriceBL
foInvCheckPrice,fo_invoice_check_priceBL
foInvCheckGcfPayment,check_gcfpaymentBL
foInvSearchBillTransfer,fo_invoice_viewbill_selectbl
foInvSearchBillInquiry,fo_invoice_inquirybillbl
foInvTransferBill,fo_invoice_post_splitbillbl
foInvCreateNewBill,fo_invoice_createnewbillbl
foInvCheckout111,fo_invoice_checkoutbl
foInvCheckout,fo_invoice_checkout1bl
foInvSelectArtikel,fo_invoice_select_artikelbl
inhouseGuestInfo,res_line_queryinhousebl
getRCData,get_print_rc_lnl
updateGdpr1,update_gdpr_1bl
getSignature1,produce_sign_1bl
updateGdpr2,update_gdpr_2bl
