service,function
getRoomCount,hk_countbl
getRoomStatus,hk_get_statusbl
changeRoomStatus,hk_change_room_statusbl
getStoreRoomDiscrepancyList,hk_discrepancybl
getRoomingList,hk_roomlistbl
getOutOfOrderAndOffMarket,hk_ooo_ombl
deactivateOutOfOrderAndOffMarket,hk_deactivate_ooobl
updateOutOfOrderAndOffMarket,hk_update_ooo_ombl
getLostAndFound,hk_get_lostfoundbl
deleteLostAndFound,hk_del_lostfoundbl
UpdateAddLostAndFound,hk_update_add_lostfoundbl
getQueueingRoom,hk_get_queue_roombl
addOffMarketRooms,hk_change_room_status_ombl
addOutOfOrderRooms,hk_change_room_status_ooobl
getMinibarList,hk_get_minibar_listbl
postMinibar,hk_post_minibarbl
setDuration,hk_rmboy_set_durationbl
setStartCleaningTime,hk_rmboy_starttimebl
maidTaskList,maid_tasklistbl
autoRoomMaidCheckLocation,check_locationbl
autoRoomMaidSendMobile,hk_rmboy_send_to_mobilebl
autoRoomMaidList,hk_rmboy_rmlist_1bl
autoRoomMaidSelectUser,hk_rmboy_select_userbl
getRoomCount2,hk_count_mobbl
getHKOverview,hk_get_overviewbl
getRoomingList2,hk_roomlist_2bl
