service,function
ReportCompanyRoomProduction,vhp_rms_comp_productionbl
ReportRoomOverview,vhp_rms_room_overviewbl
ReportRoomAvailability,vhp_rms_room_availabilitybl
ReportMonthlyForecastRoomOccupancy,vhp_rms_monthly_forecast_1bl
ReportForecastRoomProduction,vhp_rms_forecast_room_productionbl
ReportReservationByArrivalDate,vhp_rms_future_bokingbl
ReportReservationByCreationDate,vhp_rms_rsv_by_creationdatebl
ReportReservationCancelled,vhp_rms_rsv_cancel_listbl
ReportRoomRevenueBreakdown,vhp_rms_rmrev_bdownbl
ReportFOTurnoverReport,vhp_rms_foturnover_listbl
ReportTravelAgentRoomProduction,vhp_rms_ta_productionbl
ReportRoomRecapitulationGuestSegment,vhp_rms_room_recap_segmentbl
ReportTodayInhouseGuestList,vhp_rms_inhouse_guestlistbl
MasterRoomCategory,vhp_master_room_categorybl
MasterRoomType,vhp_master_room_typebl
MasterRoomList,vhp_master_room_listbl
MasterRoomOutlook,vhp_master_room_overviewbl
MasterRoomBedSetup,vhp_master_bed_setupbl
MasterCurrency,vhp_master_currency_listbl
MasterRoomRatecodeList,vhp_master_contract_ratebl
MasterRoomArrangementList,vhp_master_arrangementbl
ReportReservationList,vhp_rms_reservation_listbl
