service,function
FrontOfficeAvailability,cr_availabilitybl
FrontOfficeDailyForecastOfRoomOccupancy,dayfcastbl
FrontOfficeGuestSegmentTurnoverList,segmstatbl
FrontOfficeNationalityStatistic,nationstatbl
FrontOfficeDailyOperationReport,revenue_reportbl
FrontOfficeAnnualForecastOfRoomOccupancy,annual_forecastbl
AccountsReceivableARAgingReport,ar_age1bl
AccountsPayableAPAgingReport,ap_age1bl
FrontOfficeAvailabilityWithBedSetup,availability_with_bsetupbl
FrontOfficeInhouseGuestList,inhouse_guestlistbl
FrontOfficeRoomProductionReport,cr_rmproductbl
FrontOfficeRoomStatisticByGuestSegment,rm_statisticbl
FrontOfficeVIPList,vip_list_disp_arlistbl
FrontOfficeFOTurnoverByDepartment,foumsz_list_2bl
FrontOfficeRoomRevenueBreakdown,rmrev_bdown_create_billbalancebl
FrontOfficeAccumulatedDiscountList,disc_listbl
FrontOfficeAccumulatedRoomTurnoverReport,rm_revenuebl
FrontOfficeMonthlyForecastOfRoomOccupancy,monthly_fcast_room_occbl
FrontOfficeForecastOfRoomProductionReport,cr_fproductbl
SalesMarketingTop50AgentProductionReport,top50_tareportbl
SalesMarketingCompanyProductionReport,comp_productbl
SalesMarketingCompanyTurnoverHitList,cust_turnoverbl
FoodAndBeveragesFBSalesCostAnalysis,fb_cost_sales_analysbl
FoodAndBeveragesFBComplimentaryControlReport,hcompli_listbl
InventoryFBFlashReport,fb_flashbl
InventoryFBReconciliationReport,fb_reconsilebl
InventoryMaterialReconciliationReport,cr_matreconbl
InventoryStockArticlesMovingReport,stock_ohlist1bl
InventoryReceivingReportBySupplier,supply_inlist_btn_gobl
GeneralLedgerGLTrialBalance,trialbalance_btn_gobl
FrontOfficePrepareRoomRevenueBreakdown,prepare_rmrev_bdownbl
FrontOfficePrepareVIPList,prepare_vip_listbl
FrontOfficePrepareMonthlyForecastOfRoomOccupancy,prepare_cr_occfcast1bl
FoodAndBeveragesFBDailyRevenuePerDepartment,daily_fb_revenue_per_deptbl
FrontOfficeDailyTurnover,daily_turnoverbl
AccountsReceivableARAgingReportSimple,ar_age_simplebl
RMSAvailability,rms_availabillitybl
RMSRevenueReport,rms_revenue_reportbl
RMSDailyReservation,rms_daily_reservationbl
dashboardMonthlyForecast,monthly_forecast_1bl
dashboardGuarantedReservation,guaranted_reservationbl
FoodAndBeveragesBookingJournalByArticle,fb_bookingjournalbyarticlebl
FoodAndBeveragesBookingJournalByBillNumber,fb_bookingjournalbybillnumberbl
FoodAndBeveragesOrderCancellation,fb_ordercancellationbl
FoodAndBeveragesRestDaySalesByUser,fb_rest_day_salesbl
FoodAndBeveragesTurnoverByDept,fb_turn_report_bydeptbl
FoodAndBeveragesCostAnalysis,fb_cost_analysisbl
FoodAndBeveragesOfficerCheckReport,fb_officer_check_listbl
FoodAndBeveragesFBStatistic,fb_statisticbl
FoodAndBeveragesSummarySalesCost,fb_summary_sales_costbl
FoodAndBeveragesComplimentaryReport,fb_complimentary_listbl
FoodAndBeveragesCoversReport,fb_covers_listbl
mobileDev,test_devsamplebl
FoodAndBeveragesprepareFBSalesCostAnalysis,prepare_fb_cost_sales_analysbl
FrontOfficeBanquetEventList,bqtevent_list_btn_gobl
FrontOfficePrepareBanquetEventList,prepare_bqtevent_listbl
FrontOfficeBqtSalesForecastList,banquet_sales_forecastbl
FrontOfficePrepareBqtSalesForecastList,prepare_bk_sakesfcastbl
FrontOfficeArrivalGuestList,arrival_guestlistbl
FrontOfficePrepareArrivalGuestList,prepare_pj_select_sortingbl
FrontOfficeGuestDepartureList,departure_guestlistbl
BanquetViewBanquetEventList,load_banquet_planbl
BanquetViewBanquetInfo,get_banquet_plan_infobl
PurchasingPRListPrepare,cstm_prepare_pr_list_1bl
PurchasingPRListRefresh,cstm_pr_list_disp_list_2bl
PurchasingModifyPRPrepare,cstm_prepare_chg_prbl
PurchasingModifyPRSave,cstm_chg_pr_save_s_listbl
FrontOfficeRoomProductionReportCustom,cr_rmproduct_3_custombl
FrontOfficePrepareRoomProductionReportCustom,prepare_rm_productbl
GeneralCashierGCCashSummaryList,gc_cashsummary_custombl
GeneralCashierPrepareGCCashSummaryList,prepare_gc_cashsummary_custombl
dashboardGuarantedReservation1,guaranted_reservation_1bl
