service,function
prepareTablePlan,prepare_ts_tbplanbl
prepareBillLine,prepare_ts_hblinebl
updateBill,ts_tbplan_update_hbillbl
getRestaurantArticles,load_h_artikel1bl
openTable,ts_restinv_open_tablebl
getBill,ts_restinv_disp_bill_linebl
getOutletList,load_outletbl
selectOutlet,ts_restinv_new_posbl
splitItem,ts_split_itembl
prepareSplitBill,prepare_ts_splitbillbl
splitBill,ts_splitbillbl
postItem,ts_post_menubl
transferTable,ts_restinv_move_tablebl
cancelItem,ts_cancel_itembl
prepareDiscount,prepare_ts_discbl
calculateDiscount,ts_calc_discountbl
postDiscount,ts_post_discountbl
selectOrderTaker,select_ordertakerbl
updateOrderTaker,ts_restinv_update_hbill_betriebsnrbl
checkKitchenPrinter,ts_kitchenprinter_statusbl
askForBill,ask_for_billbl
checkMoveTable,pos_check_move_tablebl
printCaptainOrder,print_orderticketbl
verifyBfastKey,breakfastcard_verifyroombl
updateBfastKey,breakfastcard_updateconsumebl
checkSaldoCashless,check_cashless_saldobl
getLicenseCashless,prepare_get_license_cashlessbl
checkCashlessPayment,check_cashless_paymentbl
prepareNonStay,prepare_ts_rnonstay_1bl
postPaymentNonStay,ts_post_payment_rnonstaybl
postPaymentRoomtransfer,ts_post_payment_roomtransferbl
checkActivebill,check_activebill_all_paymentbl
preparePaymentCash,prepare_payment_cashbl
preparePaymentCreditCard,prepare_payment_creditcardbl
preparePaymentRoomtransfer,prepare_payment_room_transferbl
postPaymentCash,ts_post_payment_cashbl
postPaymentCreditCard,ts_post_payment_creditcardbl
preparePaymentCityLedger,prepare_payment_city_ledgerbl
postPaymentCityLedger2,ts_post_payment_cityledgerbl
postPaymentMasterBill,ts_post_payment_masterbillbl
preparePaymentMasterBill,prepare_payment_masterbillbl
getMasterBillMember,prepare_ts_masterbill_memberbl
postPaymentMealcoupon,ts_post_payment_mealcouponbl
preparePaymentMealcoupon,prepare_payment_mealcouponbl
printSplitBill,print_splitbillbl
splitBillCheckMoveTable,ts_splitbill_check_move_tablebl
splitBillPostMoveTable,ts_splitbill_post_move_tablebl
postPaymentCityLedger,ts_post_paymentcityledgerbl
preparePaymentCompliment,prepare_payment_complimentbl
preparePaymentCheckOfficerCard,prepare_payment_check_officer_cardbl
postPaymentCompliment,ts_post_payment_complimentbl
prepareCloseBill,prepare_rest_closeinvbl
checkCancelPayment,rest_closeinv_check_cancel_paymentbl
checkTempCancelPayment,rest_closeinv_tmp_cancel_paymentbl
cancelPaymentCash,rest_closeinv_cancel_payment_cashbl
cancelPaymentCredit,rest_closeinv_cancel_payment_creditcardbl
getLastCloseBill,prepare_ts_oldhbillbl
getLastCloseBillConfirm,oldhbill_checkbl
generalCheckMenu,ts_general_check_menubl
