service,function
findBooking,kiosk_findbooking
modifyBooking,kiosk_modifybooking
queryRoomList,kiosk_query_roomlist
guestCheckIn,kiosk_res_checkin
updateKeyQuantity,kiosk_update_qtykeycard
modifyBookingByScanner,kiosk_updateguestdatabl
queryPurposeList,kiosk_loadpurpose_list
generateUserkey,kiosk_genuserkey
postPaymentDeposit,kiosk_postingpayment
queryArticlePayment,kiosk_loadartpayment
findBookingrsv,kiosk_findbookingbl
viewBill,kiosk_getbill_infobl
checkOut,kiosk_checkoutbl
postPaymentBill,kiosk_pay_bill
postPaymentAdvanceBill,kiosk_post_pay_advancebl
fetchBill,kiosk_fetch_billbl
findLockNumberCheckout,kiosk_findlockno_checkoutbl
findBookingrsv2,kiosk_findbooking2bl
