service,function
frontOfficeGetInhouseGuestByRoom,vhp_get_reservation_listbyroombl
commonGetOutletList,vhp_load_outletbl
restaurantGetMenuList,vhp_load_restaurant_artikelbl
restaurantPostOrderDineIn,vhp_ts_post_orderbl
frontOfficeGetBillInfoByRoom,vhp_get_bill_infobl
frontOfficeCheckOut,vhp_checkoutbl
frontOfficeGetArrangementCode,vhp_get_arrangementbl
frontOfficeCreateReservation,vhp_create_reservationbl
frontOfficeGetRoomTypeCategory,vhp_get_roomtypecategorybl
frontOfficeGetAvailability,vhp_get_availabilitybl
restaurantCreateReservation,vhp_pos_create_table_reservationbl
restaurantGetTables,vhp_load_tables_outletbl
frontOfficeGetInhouseGuestList,vhp_get_reservation_listbl
restaurantViewOrder,vhp_load_orderlistbl
restaurantSettlePayment,vhp_ts_post_paymentbl
frontOfficeGetPaymentList,vhp_loadartpayment
frontOfficeCheckIn,vhp_res_checkin
frontOfficeGetBillInfoByReservation,vhp_fetch_billbl
frontOfficeSearchReservation,vhp_findbookingbl
restaurantGetTransactionList,vhp_load_pos_transactionbl
commonMaintainRateCode,if_rms_ratecodebl
frontOfficeCancelReservation,vhp_cancel_reservationbl
frontOfficePostPaymentBill,vhp_post_pay_bill
frontOfficePostPaymentDeposit,vhp_post_pay_depositbl
frontOfficePostPaymentAdvanceBill,vhp_post_pay_advancebl
frontOfficeFindRoomForCheckout,vhp_findroom_forcheckoutbl
reportARPaymentList,vhp_ar_payment_listbl
reportMacroPNLBalancesheet,vhp_pnlbalancesheetbl
reportFixAssetReceiving,vhp_receiving_fa_reportbl
reportMonthlyForecastOfOccupancy,vhp_monthly_forecast_1bl
frontOfficeGetAdditionalCharge,vhp_load_sales_artikelfobl
frontOfficeCheckOutByRoomVoucher,vhp_checkout_byroomvoucherbl
frontOfficeGetRoomCategory,vhp_get_room_categorybl
reportInhouseGuestList,vhp_inhouse_guestlistbl
reportFOTurnoverByDepartment,vhp_foturnover_listbl
frontOfficePostRoomService,vhp_post_roomservicebl
frontOfficePostAdditionalBill,vhp_post_add_billbl
reportExpectedDeparture,vhp_expected_departurebl
reportExpectedArrival,vhp_expected_arrivalbl
reportHotelInformation,vhp_get_hotel_informationbl
reportCurrencyList,vhp_get_currency_listbl
reportSegmentList,vhp_get_segment_listbl
reportSourceReservation,vhp_get_reservation_source_listbl
reportRoomList,vhp_get_room_listbl
reportGuestList,vhp_get_guestlistbl
otherssalesInvoice-,if_paperid_pos_create_table_reservationbl
otherssalesInvoice,if_create_sales_invoicebl
restaurantGetReservationId,if_get_rsvid_listbl
otherspaymentInvoice,if_clearence_agingbl
restaurantGetReservationStatus,if_get_status_rsv_outletbl
frontOfficePaymentDeposit,if_paper_payment_depositbl
frontOfficePostRoomTransfer,vhp_post_fobill_roomstransferbl
frontOfficePostNonStayGuestBill,vhp_post_nsbillbl
frontOfficemasterviewRates,vhp_view_ratecode_1bl
frontOfficemasterroomOutlook,vhp_get_room_view_1bl
frontOfficemasterroomType,vhp_get_room_type_1bl
frontOfficemasterroomCategory,vhp_get_room_category_1bl
frontOfficemasterroomList,vhp_get_room_list_1bl
commonhotelInformation,vhp_get_hotel_information_1bl
frontOfficereportgetReservationList,vhp_get_reservation_list_1bl
frontOfficemastercurrencyList,vhp_get_currency_list_1bl
frontOfficemasterbedSetup,vhp_get_bed_setup_1bl
frontOfficersvretrieveAvailability,vhp_get_availability_1bl
frontOfficemasterarrangement,vhp_get_arrangement_1bl
frontOfficersvcreateReservation,vhp_create_reservation_1bl
frontOfficersvcancelReservation,vhp_cancel_reservation_1bl
frontOfficereportfutureReservation,vhp_future_bokingbl
frontOfficemastercontractRateList,vhp_contract_ratebl
reportGuestListByLastModify,vhp_get_guestlist_by_last_modif_datebl
reportReservationByCheckoutDate,vhp_rms_chkout_rsv_by_datebl
IFChangeRoomType,vhp_upsell_change_room_type
IFCreateFixCost,vhp_upsell_create_fixed_cost
frontOfficeCMcreateReservation,vhp_cm_create_reservationbl
