service,function
bkQueasyRead,read_bk_queasybl
bkQueasyWrite,write_bk_queasybl
bkQueasyDelete,delete_bk_queasybl
mpEventPackageLinePrepare,prepare_mp_event_package_linebl
mpListPrepare,prepare_mp_listbl
mpListDelete,delete_master_planbl
bkDepositCheckin,bk_deposit_checkinbl
mpPrepare,prepare_mpbl
bkGenerateBlockcode,bk_generate_blockcodebl
bkMasterCreate,create_bk_masterbl
bkMpCheck,bk_check_mpbl
bkForecastShow,bk_show_forecastbl
bkDepositPrepare,prepare_bk_depositbl
bkDepositBtnOk,bk_deposit_btn_okbl
bkMasterCancel,bk_cancel_masterbl
mpInstructionSelect,mp_select_instructionbl
mpEventDetailPrepare,prepare_mp_event_detailbl
mpEventListPrepare,prepare_mp_event_listbl
selectSetupPrepare,prepare_select_setupbl
eventInsert,insert_eventbl
bkSelectRoomPrepare,prepare_bk_select_roombl
bkEventCreate,bk_create_eventbl
bkGetdate,bk_getdatebl
bkEventDetailCreate,create_bk_event_detailbl
mpReport,mp_reportbl
mpReportDeposit,mp_report_depositbl
mpReportForecast,mp_report_forecastbl
eventDelete,delete_eventbl
ratecodeSelectPrepare,prepare_select_ratecode_1bl
mpView,masterplan_viewbl
selectArticle,select_articlebl
bkAmendmentPrepare,prepare_amendmentbl
bkAmendment,bk_amendmentbl
mpGetSales,get_sales_namebl
bartikelListPrepare,prepare_bartikel_listbl
bartikelList,bartikel_list_webbl
depositList,deposit_list_webbl
rsvListCreateList,rsv_list_create_list_webbl
rsvListBtnChg,rsv_list_btn_chgbl
bastatusLineChgPrepare,prepare_chg_bastatus_linebl
bastatusLineChgCheckRsv,chg_bastatus_line_check_reserbl
rsvListUpdateResstatus,rsv_list_update_resstatusbl
rsvCancelList,rsv_cancel_listbl
banquetPlanLoad,load_banquet_planbl
banquetPlanLoadGetInfo,get_banquet_plan_infobl
banquetPlanRemark,banquet_plan_remarkbl
modifyEventCheck,check_modify_eventbl
modifyEventPrepare,prepare_modify_eventbl
modifyEventGo,modify_event_gobl
baPlanCheckReser1,ba_plan_check_reser1bl
baPlanBtnGuest,ba_plan_btn_guestbl
baPlanCreateResline,ba_plan_create_reslinebl
mainFsPrepare1,prepare_main_fs_1bl
mainFsReadEquipment,main_fs_readequipment_webbl
mainFsDisplayBrowser1,main_fs_display_browser1bl
mainFsCreateFsl,main_fs_create_fslbl
mainFsDisplayBrowser2,main_fs_display_browser2bl
mainFsDisplayBrowser3,main_fs_display_browser3bl
mainFsCreateMainPage1,main_fs_create_main_page1bl
mainFsProcBtnPage2,main_fs_proc_btn_page2bl
