service,function
hotelInfoSave,save_hotel_info_setup_wizardbl
rmcatAdminPrepare,prepare_rmcat_admin_setup_wizardbl
rmcatAdmin,rmcat_admin_setup_wizardbl
zimkategWrite,write_zimkateg_setup_wizardbl
outletConfigPrepare,prepare_outlet_config_setup_wizardbl
outletConfigSave,save_outlet_config_setup_wizardbl
outletLandingPrepare,prepare_outlet_landing_setup_wizardbl
paramtextRead,read_paramtext_setup_wizardbl
paramtextWrite,write_paramtext_setup_wizardbl
paramtextDelete,delete_paramtext_setup_wizardbl
outletSubgrpPrepare,prepare_outlet_subgrp_setup_wizardbl
outletSubgrpSave,save_outlet_subgrp_setup_wizardbl
dashboardPrepare,prepare_dashboard_setup_wizardbl
hotelInfoPrepare,prepare_hotel_info_setup_wizardbl
rarticlePrepare,prepare_rarticle_setup_wizardbl
rarticleSave,save_rarticle_setup_wizardbl
rmViewRead,read_rm_view_setup_wizardbl
rmViewWrite,write_rm_view_setup_wizardbl
rmViewDelete,delete_rm_view_setup_wizardbl
