service,function
availabilityCreate,cr_availabilitybl
outstandingCheck,check_outstandbl
reservationGname1,mkres_gname_1bl
gcfHistoryPrepare,prepare_gcf_historybl
gcfHistory1,gcf_history_1bl
gcfRsvList,gcf_rsvlistbl
gcfInfoPrepare,prepare_gcf_infobl
connectGroupPrepare,prepare_connect_groupbl
connectGroup,connect_groupbl
connectGroupJoinIt,connect_group_join_itbl
monthlyFcastPrepare12,prepare_cr_occfcast1_2bl
monthlyFcast12,cr_occfcast1_2bl
monthlyFcastDDown1,prepare_occ_fcast1_ddownbl
monthlyFcastDDown1List,occ_fcast1_ddown_create_browsebl
monthlyFcastDDown1List1,occ_fcast1_ddown_create_browse1bl
arlReleaseRoom,arl_list_mi_releasermbl
roomStatusOverview,hk_count1bl
roomRecapitulation,prepare_rm_atdrecapbl
segmentMkPrepare,prepare_mk_segmbl
segmentMk,mk_segmbl
showRevenuePrepare,prepare_view_staycostbl
companyGuestList,company_glist_1bl
companyGuestListGetGastnr,company_glist_get_gastnrbl
companyGuestListBtnHelp,company_glist_btn_helpbl
arlBlockRoom,arl_list_mi_blockrmbl
approveList,approve_listbl
approveListDispRsv,approve_list_disp_rsvbl
approveListAskReason,approve_list_ask_reasonbl
remoteDisparPrepare,prepare_remote_disparbl
remoteDisparBtnGo,remote_dispar_btn_gobl
selectGuest,select_guestbl
aktKontSave,write_akt_kontbl
gcfContactBtnExit,gcf_contact_btn_exitbl
reservationLog,res_logbl
reservationLogComment,res_log_res_commentbl
viewAllotmentReview,allotm_reviewbl
blackList,black_listbl
arlInitialIt,arl_list_initial_itbl
arlCheckMessage,arl_list_check_messagebl
arlUpdateBrowse,arl_list_update_browsebl
arlBtnGCF,arl_list_btn_gcfbl
arlCheckMember,arl_list_checkmemberbl
resFillGCFEmail,res_fill_gcfemailbl
arlAddQueueRoom,arl_list_add_queue_roombl
arlChgDepTime,arl_list_chg_deptimebl
arlCheckDeposit,arl_list_check_depositbl
arlCancelRsv2,arl_list_cancelrsv_2bl
arlCancelRsv1_3,arl_list_cancelrsv1_3bl
arlCancelRsv1_1,arl_list_cancelrsv1_1bl
arlCancelCi,arl_list_cancelcibl
availRoomPrepare,prepare_avail_roombl
availRoom,avail_roombl
resTACancel,res_tacancelbl
floorPlanPrepare,prepare_floorplanbl
floorPlan,floorplan_webbl
guestLocator,guest_locatorbl
resTANoShow,res_tanoshowbl
gcfList,gcf_list_webbl
gcfListFillComment,gcf_list_fill_commentbl
gcfMcPrepare,prepare_mc_gcf0bl
gcfMcCheck,mc_gcf0_checkbl
gcfMc0,mc_gcf0bl
mkresGnameBtnNext,mkres_gname_btn_nextbl
mkresGnameAllotment,mkres_gname_allotmentbl
vipListPrepare,prepare_vip_listbl
gcfBirthdate,gcf_birthdatebl
earlycoGlistPrepare,prepare_earlyco_glistbl
earlycoGlist,earlyco_glistbl
reservationLog1,res_log1bl
foreignList,foreign_listbl
bedAvailability,availability1bl
nationProduct,nation_productbl
foreignListPrepare,prepare_foreign_listbl
mkRmsharerPrepare,prepare_mk_rmsharerbl
mkRmsharer,create_rmsharerbl
discList,disc_listbl
gcfBirthdateList,gcf_birthdate_listbl
searchByVoucher,res_voucherno1bl
loadRoomType,load_zimkategbl
prepareLongShortStayReport,prepare_longshort_staybl
loadDataLongShortStayReport,longshort_stay_btn_gobl
loadTentativeReservationList,tent_rsvlistbl
loadGuestPickupReport,pickup_listbl
printRC,print_rcbl
resCutoff,res_cutoffbl
arlDisp1,arl_list_disp_arlist1bl
arlDisp2,arl_list_disp_arlist2bl
resCancelledPrepare,prepare_res_cancelledbl
walkinGlistPrepare,prepare_walkin_glistbl
walkinGlist,walkin_glistbl
gcfAtlistCreateList,gcf_atlist_create_listbl
gcfListDelGCF,gcf_list_del_gcfbl
gbDocumentDel,gb_delete_document
gbConnect,gb_connect
roomUpgradeReport,rm_upgradebl
globalReservation,globalreservebl
arlListAskVoucher,arl_list_ask_voucherbl
