service,function
rmcharge,rmcharge
newbdate,newbdatebl
ntrmrate,nt_rmratebl
ntrmstat,nt_rmstat
ntexrate,nt_exrate
ntgenfcast,nt_genfcast
ntgenstat,nt_genstat
ntbalan,nt_balan
ntarrival,nt_arrival
ntdeparture,nt_departure
ntpjarrive,nt_pjarrive
ntpjrmrecap,nt_pjrmrecap
ntrmrev,nt_rmrev
ntrevbdown,nt_revbdown
ntfjnal,nt_fjnal
ntfcjnal,nt_fcjnal
ntoutbill,nt_outbill
ntcalls,nt_calls
ntfkas,nt_fkas
ntdeposit,nt_deposit
ntdebt,nt_debt
ntgdebt,nt_gdebt
ntklimit,nt_klimit
ntbankett,nt_bankett
ntengineering,nt_engineering
ntegstat,nt_egstat
ntfoumsz,nt_foumsz
ntaskhistory,nt_askhistory
ntdisthistory,nt_disthistory
ntdistmember,nt_distmember
ntaiirevenue,nt_aiirevenue
ntfina,nt_finabl
clclosing,clclosing
clcountexpiredbl,clcount_expiredbl
ntropentable,nt_ropentable
ntrjnal,nt_rjnal
ntrcjnal,nt_rcjnal
nthcost,nt_hcost
ntkngfbrev,nt_kngfbrev
ntrkas,nt_rkas
ntfbstat,nt_fbstat
ntresumsz,nt_resumsz
ntbapostbill,nt_bapostbill
ntshiftcover1,nt_shiftcover_1
ntrevinatesurvey,nt_revinatesurvey
