service,function
readParamtext1,read_paramtext1bl
delParamtext,delete_paramtextbl
writeParamtext,write_paramtextbl
readArgt,read_arrangementbl
delArgtLine,delete_argt_linebl
createArgtLine,create_argt_linebl
writeArgtLine,write_argt_linebl
delArgtCheck,argt_admincheck_delbl
delArgt,delete_arrangementbl
writeArgt,write_arrangementbl
adminArgt,argt_adminbl
checkDeptLimit,check_dept_limitbl
writeHotelDept,write_hoteldptbl
delHotelDept,delete_hoteldptbl
updHotelName,update_htlnamebl
checkHotelNameAdmin,check_htl_name_adminbl
readParamtext,read_paramtextbl
prepareRoomAdmin,prepare_room_adminbl
readZimkateg,read_zimkategbl
delRoomAdmin,del_room_admin_1bl
addRoomAdmin,add_room_admin_1bl
checkRoomLimit,check_rm_limitbl
rmCatAdmin,rmcat_adminbl
rmCatAdminPrepare,prepare_rmcat_adminbl
writeZimkateg,write_zimkategbl
readEkum,read_ekumbl
writeEkum,write_ekumbl
delEkum,delete_ekumbl
readZwkum,read_zwkumbl
writeZwkum,write_zwkumbl
readNation1,read_nation1bl
aktRivalAdmin,akt_rivaladminbl
readAktCode,read_akt_codebl
deleteAktRivalAdmin,akt_rivaladmin_btn_delbl
readNation,read_nationbl
loadNation,load_nationbl
checkSubnationAdmin,subnation_admin_checkbl
writeNation,write_nationbl
delNation,delete_nationbl
loadPrmarket,load_prmarketbl
nationAdmin,nation_adminbl
nationAdminCheck,nation_admin_checkbl
nationAdminCheck1,nation_admin_check1bl
loadPrinter,load_printerbl
updVHPPrint,upd_vhpprintbl
readPrintcod1,read_printcod1bl
readPrinter,read_printerbl
writePrinter,write_printer_webbl
delPrinter,delete_printerbl
prepareMain1,prepare_main1bl
readSourccod,read_sourccodbl
restypeAdminBtnDel,restype_admin_btn_delbl
restypeAdminBtnExit,restype_admin_btn_exitbl
billInstructBtnExit,bill_instruct_btn_exitbl
billInstructBtnDel,bill_instruct_btn_delbl
delSpecialRequest,special_request_deletebl
rsvpurposeAdminBtnDel,rsvpurpose_admin_btn_delbl
segmAdmin,segm_adminbl
readSegment,read_segmentbl
writeSegment,write_segmentbl
checkDelart,check_delartbl
delSegment,delete_segmentbl
segmgroupAdmin,segmgroup_adminbl
aktProadminPrepare,prepare_akt_proadminbl
aktProadminBtnExit,akt_proadmin_btn_exitbl
aktProadminBtnDel,akt_proadmin_btn_delnamebl
aktReasonadminPrepare,prepare_akt_reasonadminbl
aktReasonadminBtnExit,akt_reasonadmin_btn_exitbl
aktReasonadminBtnDel,akt_reasonadmin_btn_delnamebl
aktStageadminPrepare,prepare_aktstage_adminbl
aktStageadminBtnExit,aktstage_admin_btn_exitbl
aktStageadminBtnDel,aktstage_admin_btn_delnamebl
aktRefadminPrepare,prepare_akt_refadminbl
aktRefadminBtnExit,akt_refadmin_btn_exitbl
aktRefadminBtnDel,akt_refadmin_btn_delnamebl
grphtlAdminPrepare,prepare_grphtl_adminbl
grphtlAdminBtnExit,grphtl_admin_btn_exitbl
grphtlAdminBtnDel,grphtl_admin_btn_delartbl
bqtbeoAdminPrepare,prepare_bqtbeo_adminbl
bqtbeoAdminBtnExit,bqtbeo_admin_btn_exitbl
bqtbeoAdminBtnDel,bqtbeo_admin_btn_delartbl
bqtcatAdminPrepare,prepare_bqtcat_adminbl
bqtcatAdminBtnExit,bqtcat_admin_btn_exitbl
bqtcatAdminBtnDel,bqtcat_admin_btn_delartbl
batypeAdminPrepare,prepare_batype_adminbl
batypeAdminBtnExit,batype_admin_btn_exitbl
batypeAdminBtnDel,batype_admin_btn_delartbl
baemailAdminPrepare,prepare_basetup_emailbl
baemailAdminBtnExit,basetup_email_btn_exitbl
baemailAdminBtnDel,basetup_email_btn_delartbl
bqtreligAdminPrepare,prepare_bqtrelig_adminbl
bqtreligAdminBtnExit,bqtrelig_admin_btn_exitbl
bqtreligAdminBtnDel,bqtrelig_admin_btn_delartbl
baRmSetup,ba_rmsetup_webbl
baRmSetupEditPrepare,prepare_edit_rmsetup_webbl
selectBaSetupCreateList,select_basetup_create_listbl
selectBaraum,select_baraumbl
editRmSetupBtnExit,edit_rmsetup_btn_exit_webbl
baRaumPrepare,prepare_ba_raum_1bl
fillBkRaum,fill_bk_raum_webbl
baraumEdit,edit_baraum_webbl
baraumDelete,ba_raum_btn_delbl
bqtsegmAdminPrepare,prepare_bqtsegm_adminbl
bqtsegmAdminBtnExit,bqtsegm_admin_btn_exitbl
bqtsegmAdminBtnDel,bqtsegm_admin_btn_delartbl
bqtsobAdminPrepare,prepare_bqtsob_adminbl
bqtsobAdminBtnExit,bqtsob_admin_btn_exitbl
bqtsobAdminBtnDel,bqtsob_admin_btn_delartbl
rsubgrpAdminPrepare,prepare_rsubgrp_adminbl
rsubgrpAdminBtnDel,rsubgrp_admin_btn_delbl
rsubgrpAdminBtnExit,rsubgrp_admin_btn_exitbl
checkArray,check_arraybl
prtableAdmin3,prtable_admin3bl
prtableAdmin2,prtable_admin2bl
readPrmarket,read_prmarketbl
prtableAdminChg,prtable_admin_chgbl
prtableAdmin,prtable_adminbl
prtableCheckDel,check_del_prtablebl
articleAdminPrepare,prepare_artikel_adminbl
getCurrency,get_currencybl
articleAdminCheckBtnExit,artikel_admin_check_btn_exitbl
writeArtikel,write_artikelbl
articleAdmin,artikel_adminbl
articleAdmin1,artikel_admin1bl
selectBookenginePrepare,prepare_bookengine_selectbl
bookengineAdminPrepare,prepare_bookengine_adminbl
bookengineAdminBtnExit,bookengine_admin_btn_exitbl
bookengineAdminBtnDel,bookengine_admin_btn_deletebl
bookengineConfigPrepare,prepare_bookengine_config_webbl
bookengineConfigBtnExit,bookengine_config_btn_exitbl
nsargtAdminPrepare,prepare_nsargt_adminbl
nsargtAdminInitAdd,nsargt_admin_init_add_p_listbl
nsargtAdminArrangement,nsargt_admin_arrangementbl
nsargtAdminBtnGo,nsargt_admin_btn_gobl
nsargtAdminBtnDel,nsargt_admin_btn_delbl
nsargtAdminBtnCancelArt,nsargt_admin_btn_cancartbl
egVendorPrepare,prepare_eg_vendorbl
egVendorVendorNr,eg_vendor_vendor_nrbl
egVendorVendorBez,eg_vendor_vendor_bezbl
egVendorBtnDelart,eg_vendor_btn_delartbl
egVendorBtnExit,eg_vendor_btn_exitbl
aktcodeAdminPrepare,prepare_aktcode_adminbl
aktcodeAdminBtnExit,aktcode_admin_btn_exitbl
aktcodeAdminBtnDelname,aktcode_admin_btn_delnamebl
